儲櫃 ID,開啟時間,關閉時間,平均溫度,最高濕度,最低濕度,平均濕度,Log創建時間,開啟次數,總開啟時間
C-004,2022-02-23 15:40:27,2022-02-23 15:40:46,19
C-006,2022-02-23 15:39:41,2022-02-23 15:40:01,20
TESTC-001,2022-02-23 15:38:46,2022-02-23 15:39:10,24
C-003,2022-02-23 15:37:59,2022-02-23 15:38:19,20
C-005,2022-02-23 15:37:11,2022-02-23 15:37:31,20
C-002,2022-02-23 15:36:26,2022-02-23 15:36:45,19
C-004,2022-02-23 15:35:37,2022-02-23 15:35:59,22
C-006,2022-02-23 15:34:51,2022-02-23 15:35:11,20
TESTC-001,2022-02-23 15:33:51,2022-02-23 15:34:17,26
C-003,2022-02-23 15:33:04,2022-02-23 15:33:25,21
C-005,2022-02-23 15:32:16,2022-02-23 15:32:37,21
C-002,2022-02-23 15:31:29,2022-02-23 15:31:49,20
C-004,2022-02-23 15:30:38,2022-02-23 15:31:02,24
C-006,2022-02-23 15:29:50,2022-02-23 15:30:11,21
TESTC-001,2022-02-23 15:29:09,2022-02-23 15:29:27,18
C-003,2022-02-23 15:28:23,2022-02-23 15:28:43,20
C-005,2022-02-23 15:27:35,2022-02-23 15:27:55,20
C-002,2022-02-23 15:26:49,2022-02-23 15:27:09,20
C-004,2022-02-23 15:25:52,2022-02-23 15:26:19,27
TESTC-001,2022-02-23 15:25:11,2022-02-23 15:25:29,18
C-003,2022-02-23 15:24:24,2022-02-23 15:24:43,19
C-002,2022-02-23 15:23:35,2022-02-23 15:23:55,20
TESTC-001,2022-02-23 15:22:47,2022-02-23 15:23:08,21
C-002,2022-02-23 15:22:03,2022-02-23 15:22:23,20
TESTC-001,2022-02-23 15:21:08,2022-02-23 15:21:33,25
TESTC-001,2022-02-23 15:20:13,2022-02-23 15:20:40,27
C-002,2022-02-23 15:12:50,2022-02-23 15:13:27,37
C-002,2022-02-23 15:03:08,2022-02-23 15:03:43,35
C-003,2022-02-23 15:01:59,2022-02-23 15:02:27,28
C-003,2022-02-23 15:00:46,2022-02-23 15:01:21,35
C-005,2022-02-23 14:59:24,2022-02-23 15:00:11,47
C-005,2022-02-23 14:58:08,2022-02-23 14:58:50,42
C-002,2022-02-23 14:56:59,2022-02-23 14:57:35,36
C-002,2022-02-23 14:55:41,2022-02-23 14:56:29,48
C-005,2022-02-23 14:54:35,2022-02-23 14:55:18,43
C-003,2022-02-23 14:53:27,2022-02-23 14:54:00,33
C-002,2022-02-23 14:52:21,2022-02-23 14:52:52,31
C-003,2022-02-23 14:51:23,2022-02-23 14:51:51,28
C-003,2022-02-23 14:50:03,2022-02-23 14:50:37,34
C-003,2022-02-23 14:49:00,2022-02-23 14:49:31,31
C-002,2022-02-23 14:47:45,2022-02-23 14:48:21,36
TESTC-001,2022-02-23 14:46:23,2022-02-23 14:47:14,51
C-005,2022-02-23 14:42:53,2022-02-23 14:43:37,44
C-005,2022-02-23 14:40:52,2022-02-23 14:41:33,41
C-007,2022-02-23 14:38:34,2022-02-23 14:39:19,45
C-002,2022-02-23 14:37:26,2022-02-23 14:38:02,36
C-005,2022-02-23 14:36:19,2022-02-23 14:36:59,40
C-002,2022-02-23 14:24:39,2022-02-23 14:25:12,33
C-005,2022-02-23 14:01:59,2022-02-23 14:03:12,73
C-005,2022-02-23 14:00:44,2022-02-23 14:01:58,74
C-005,2022-02-23 13:59:31,2022-02-23 14:00:43,72
C-005,2022-02-23 13:58:03,2022-02-23 13:59:19,76
C-005,2022-02-23 13:56:48,2022-02-23 13:58:02,74
C-005,2022-02-23 13:56:37,2022-02-23 13:56:47,10
C-005,2022-02-23 13:56:27,2022-02-23 13:56:36,9
C-005,2022-02-23 13:56:17,2022-02-23 13:56:26,9
C-005,2022-02-23 13:56:07,2022-02-23 13:56:16,9
C-005,2022-02-23 13:55:01,2022-02-23 13:56:05,64
C-003,2022-02-23 13:52:34,2022-02-23 13:53:32,58
C-003,2022-02-23 13:52:13,2022-02-23 13:52:22,9
C-003,2022-02-23 13:51:14,2022-02-23 13:52:12,58
C-003,2022-02-23 13:50:53,2022-02-23 13:51:02,9
C-003,2022-02-23 13:50:43,2022-02-23 13:50:52,9
C-003,2022-02-23 13:50:34,2022-02-23 13:50:42,8
C-003,2022-02-23 13:49:28,2022-02-23 13:50:30,62
C-003,2022-02-23 13:48:26,2022-02-23 13:49:27,61
C-003,2022-02-23 13:47:24,2022-02-23 13:48:25,61
C-003,2022-02-23 13:46:14,2022-02-23 13:47:23,69
C-007,2022-02-23 12:00:48,2022-02-23 12:02:00,72
C-002,2022-02-23 11:57:42,2022-02-23 11:58:48,66
C-002,2022-02-23 11:56:25,2022-02-23 11:57:31,66
C-002,2022-02-23 11:55:06,2022-02-23 11:56:12,66
C-002,2022-02-23 11:54:55,2022-02-23 11:55:05,10
C-002,2022-02-23 11:53:50,2022-02-23 11:54:54,64
C-002,2022-02-23 11:52:46,2022-02-23 11:53:49,63
C-002,2022-02-23 11:51:54,2022-02-23 11:52:45,51
C-002,2022-02-23 11:50:57,2022-02-23 11:51:53,56
C-002,2022-02-23 11:49:54,2022-02-23 11:50:56,62
TESTC-001,2022-02-23 11:46:42,2022-02-23 11:47:48,66
TESTC-001,2022-02-23 11:46:19,2022-02-23 11:46:26,7
TESTC-001,2022-02-23 11:45:40,2022-02-23 11:46:00,20
C-002,2022-02-23 11:45:44,2022-02-23 11:45:58,14
C-003,2022-02-23 11:45:47,2022-02-23 11:45:55,8
