Tag Name,AddrOffset,B/W,Length,StartBit,ValString,EventLog,OnTime,TrigerEdge,IstByPass,Hint,Description
Alive,0,W,1,0,HEX,F,0,ONOFF,F,,1~FFFF 4sec+1
Mode,1,B,1,0,BIN,F,0,ONOFF,F,,0:Manual 1:Auto
Stauts,2,B,4,0,DEC,F,0,ONOFF,F,,1:Run 2:Idle 3:Down
HasWarning,3,B,1,0,BIN,F,0,ONOFF,F,,0:No 1:Yes
HasAlarm,3,B,1,1,BIN,F,0,ONOFF,F,,0:No 1:Yes
WaitOPtoTakeOut,4,B,1,0,BIN,F,0,ONOFF,F,,0:None 1:StockWating
WaitShuttleCartoTakeOut,5,B,1,0,BIN,F,0,ONOFF,F,,0:None 1:StockWating
EquipmentLocalRemoteMode,6,B,1,0,BIN,F,0,ONOFF,F,,0:Local 1:Remote
