Tag Name,AddrOffset,B/W,Length,StartBit,ValString,EventLog,OnTime,TrigerEdge,IstByPass,Hint,Description
AlarmWarning1_Unit,10,B,8,0,INT,F,0,ONOFF,F,,1~255
AlarmWarning1_Level,10,B,2,8,INT,F,0,ONOFF,F,,1: Warning 2: Alarm
AlarmWarning1_Set,10,B,1,15,BIN,F,0,ONOFF,F,,0: Clear 1: Set
AlarmWarning1_Code,11,W,1,0,INT,F,0,ONOFF,F,,0~65535
AlarmWarning2_Unit,12,B,8,0,INT,F,0,ONOFF,F,,1~255
AlarmWarning2_Level,12,B,2,8,INT,F,0,ONOFF,F,,1: Warning 2: Alarm
AlarmWarning2_Set,12,B,1,15,BIN,F,0,ONOFF,F,,0: Clear 1: Set
AlarmWarning2_Code,13,W,1,0,INT,F,0,ONOFF,F,,0~65535
AlarmWarning3_Unit,14,B,8,0,INT,F,0,ONOFF,F,,1~255
AlarmWarning3_Level,14,B,2,8,INT,F,0,ONOFF,F,,1: Warning 2: Alarm
AlarmWarning3_Set,14,B,1,15,BIN,F,0,ONOFF,F,,0: Clear 1: Set
AlarmWarning3_Code,15,W,1,0,INT,F,0,ONOFF,F,,0~65535
AlarmWarning4_Unit,16,B,8,0,INT,F,0,ONOFF,F,,1~255
AlarmWarning4_Level,16,B,2,8,INT,F,0,ONOFF,F,,1: Warning 2: Alarm
AlarmWarning4_Set,16,B,1,15,BIN,F,0,ONOFF,F,,0: Clear 1: Set
AlarmWarning4_Code,17,W,1,0,INT,F,0,ONOFF,F,,0~65535
AlarmWarning5_Unit,18,B,8,0,INT,F,0,ONOFF,F,,1~255
AlarmWarning5_Level,18,B,2,8,INT,F,0,ONOFF,F,,1: Warning 2: Alarm
AlarmWarning5_Set,18,B,1,15,BIN,F,0,ONOFF,F,,0: Clear 1: Set
AlarmWarning5_Code,19,W,1,0,INT,F,0,ONOFF,F,,0~65535
AlarmWarning6_Unit,1A,B,8,0,INT,F,0,ONOFF,F,,1~255
AlarmWarning6_Level,1A,B,2,8,INT,F,0,ONOFF,F,,1: Warning 2: Alarm
AlarmWarning6_Set,1A,B,1,15,BIN,F,0,ONOFF,F,,0: Clear 1: Set
AlarmWarning6_Code,1B,W,1,0,INT,F,0,ONOFF,F,,0~65535
AlarmWarning7_Unit,1C,B,8,0,INT,F,0,ONOFF,F,,1~255
AlarmWarning7_Level,1C,B,2,8,INT,F,0,ONOFF,F,,1: Warning 2: Alarm
AlarmWarning7_Set,1C,B,1,15,BIN,F,0,ONOFF,F,,0: Clear 1: Set
AlarmWarning7_Code,1D,W,1,0,INT,F,0,ONOFF,F,,0~65535
AlarmWarning8_Unit,1E,B,8,0,INT,F,0,ONOFF,F,,1~255
AlarmWarning8_Level,1E,B,2,8,INT,F,0,ONOFF,F,,1: Warning 2: Alarm
AlarmWarning8_Set,1E,B,1,15,BIN,F,0,ONOFF,F,,0: Clear 1: Set
AlarmWarning8_Code,1F,W,1,0,INT,F,0,ONOFF,F,,0~65535
