20220211-09:35:53:039  DatabaseThread CycleTime : 500
20220211-09:35:53:539  DatabaseThread CycleTime : 500
20220211-09:35:54:039  DatabaseThread CycleTime : 500
20220211-09:35:54:538  DatabaseThread CycleTime : 500
20220211-09:35:55:040  DatabaseThread CycleTime : 500
20220211-09:35:55:540  DatabaseThread CycleTime : 500
20220211-09:35:56:038  DatabaseThread CycleTime : 500
20220211-09:35:56:539  DatabaseThread CycleTime : 500
20220211-09:35:57:040  DatabaseThread CycleTime : 500
20220211-09:35:57:538  DatabaseThread CycleTime : 500
20220211-09:35:58:039  DatabaseThread CycleTime : 500
20220211-09:35:58:539  DatabaseThread CycleTime : 500
20220211-09:35:59:039  DatabaseThread CycleTime : 500
20220211-09:35:59:540  DatabaseThread CycleTime : 500
20220211-09:36:00:039  DatabaseThread CycleTime : 500
20220211-09:36:00:539  DatabaseThread CycleTime : 500
20220211-09:36:01:040  DatabaseThread CycleTime : 500
20220211-09:36:01:539  DatabaseThread CycleTime : 500
20220211-09:36:02:039  DatabaseThread CycleTime : 500
20220211-09:36:02:539  DatabaseThread CycleTime : 500
20220211-09:36:03:040  DatabaseThread CycleTime : 500
20220211-09:36:03:538  DatabaseThread CycleTime : 500
20220211-09:36:04:039  DatabaseThread CycleTime : 500
20220211-09:36:04:540  DatabaseThread CycleTime : 500
20220211-09:36:05:039  DatabaseThread CycleTime : 500
20220211-09:36:05:540  DatabaseThread CycleTime : 500
20220211-09:36:06:039  DatabaseThread CycleTime : 500
20220211-09:36:06:538  DatabaseThread CycleTime : 500
20220211-09:36:07:039  DatabaseThread CycleTime : 500
20220211-09:36:07:539  DatabaseThread CycleTime : 500
20220211-09:36:08:039  DatabaseThread CycleTime : 500
20220211-09:36:08:540  DatabaseThread CycleTime : 500
20220211-09:36:09:040  DatabaseThread CycleTime : 500
20220211-09:36:09:538  DatabaseThread CycleTime : 500
20220211-09:36:10:039  DatabaseThread CycleTime : 500
20220211-09:36:10:540  DatabaseThread CycleTime : 500
20220211-09:36:11:038  DatabaseThread CycleTime : 500
20220211-09:36:11:539  DatabaseThread CycleTime : 500
20220211-09:36:12:040  DatabaseThread CycleTime : 500
20220211-09:36:12:538  DatabaseThread CycleTime : 500
20220211-09:36:13:040  DatabaseThread CycleTime : 500
20220211-09:36:13:539  DatabaseThread CycleTime : 500
20220211-09:36:14:039  DatabaseThread CycleTime : 500
20220211-09:36:14:539  DatabaseThread CycleTime : 500
20220211-09:36:15:040  DatabaseThread CycleTime : 500
20220211-09:36:15:538  DatabaseThread CycleTime : 500
20220211-09:36:16:039  DatabaseThread CycleTime : 500
20220211-09:36:16:540  DatabaseThread CycleTime : 500
20220211-09:36:17:039  DatabaseThread CycleTime : 500
20220211-09:36:17:540  DatabaseThread CycleTime : 500
20220211-09:36:18:040  DatabaseThread CycleTime : 500
20220211-09:36:18:538  DatabaseThread CycleTime : 500
20220211-09:36:19:040  DatabaseThread CycleTime : 500
20220211-09:36:19:539  DatabaseThread CycleTime : 500
20220211-09:36:20:039  DatabaseThread CycleTime : 500
20220211-09:36:20:539  DatabaseThread CycleTime : 500
20220211-09:36:21:040  DatabaseThread CycleTime : 500
20220211-09:36:21:538  DatabaseThread CycleTime : 500
20220211-09:36:22:039  DatabaseThread CycleTime : 500
20220211-09:36:22:539  DatabaseThread CycleTime : 500
20220211-09:36:23:039  DatabaseThread CycleTime : 500
20220211-09:36:23:539  DatabaseThread CycleTime : 500
20220211-09:36:24:040  DatabaseThread CycleTime : 500
20220211-09:36:24:538  DatabaseThread CycleTime : 500
20220211-09:36:25:039  DatabaseThread CycleTime : 500
20220211-09:36:25:539  DatabaseThread CycleTime : 500
20220211-09:36:26:040  DatabaseThread CycleTime : 500
20220211-09:36:26:540  DatabaseThread CycleTime : 500
20220211-09:36:27:039  DatabaseThread CycleTime : 500
20220211-09:36:27:539  DatabaseThread CycleTime : 500
20220211-09:36:28:039  DatabaseThread CycleTime : 500
20220211-09:36:28:540  DatabaseThread CycleTime : 500
20220211-09:36:29:040  DatabaseThread CycleTime : 500
20220211-09:36:29:539  DatabaseThread CycleTime : 500
20220211-09:36:30:041  DatabaseThread CycleTime : 500
20220211-09:36:30:554  DatabaseThread CycleTime : 516
20220211-09:36:31:056  DatabaseThread CycleTime : 500
20220211-09:36:31:555  DatabaseThread CycleTime : 500
20220211-09:36:32:055  DatabaseThread CycleTime : 500
20220211-09:36:32:556  DatabaseThread CycleTime : 500
20220211-09:36:33:055  DatabaseThread CycleTime : 500
20220211-09:36:33:554  DatabaseThread CycleTime : 500
20220211-09:36:34:056  DatabaseThread CycleTime : 500
20220211-09:36:34:554  DatabaseThread CycleTime : 500
20220211-09:36:35:055  DatabaseThread CycleTime : 500
20220211-09:36:35:556  DatabaseThread CycleTime : 500
20220211-09:36:36:054  DatabaseThread CycleTime : 500
20220211-09:36:36:555  DatabaseThread CycleTime : 500
20220211-09:36:37:056  DatabaseThread CycleTime : 500
20220211-09:36:37:554  DatabaseThread CycleTime : 500
20220211-09:36:38:054  DatabaseThread CycleTime : 500
20220211-09:36:38:555  DatabaseThread CycleTime : 500
20220211-09:36:39:055  DatabaseThread CycleTime : 500
20220211-09:36:39:554  DatabaseThread CycleTime : 500
20220211-09:36:40:055  DatabaseThread CycleTime : 500
20220211-09:36:40:554  DatabaseThread CycleTime : 500
20220211-09:36:41:054  DatabaseThread CycleTime : 500
20220211-09:36:41:555  DatabaseThread CycleTime : 500
20220211-09:36:42:055  DatabaseThread CycleTime : 500
20220211-09:36:42:554  DatabaseThread CycleTime : 500
20220211-09:36:43:055  DatabaseThread CycleTime : 500
20220211-09:36:43:555  DatabaseThread CycleTime : 500
20220211-09:36:44:055  DatabaseThread CycleTime : 500
20220211-09:36:44:556  DatabaseThread CycleTime : 500
20220211-09:36:45:054  DatabaseThread CycleTime : 500
20220211-09:36:45:555  DatabaseThread CycleTime : 500
20220211-09:36:46:055  DatabaseThread CycleTime : 500
20220211-09:36:46:555  DatabaseThread CycleTime : 500
20220211-09:36:47:055  DatabaseThread CycleTime : 500
20220211-09:36:47:555  DatabaseThread CycleTime : 500
20220211-09:36:48:054  DatabaseThread CycleTime : 500
20220211-09:36:48:554  DatabaseThread CycleTime : 500
20220211-09:36:49:056  DatabaseThread CycleTime : 500
20220211-09:36:49:554  DatabaseThread CycleTime : 500
20220211-09:36:50:054  DatabaseThread CycleTime : 500
20220211-09:36:50:555  DatabaseThread CycleTime : 500
20220211-09:36:51:054  DatabaseThread CycleTime : 500
20220211-09:36:51:554  DatabaseThread CycleTime : 500
20220211-09:36:52:056  DatabaseThread CycleTime : 500
20220211-09:36:52:554  DatabaseThread CycleTime : 500
20220211-09:36:53:054  DatabaseThread CycleTime : 500
20220211-09:36:53:556  DatabaseThread CycleTime : 500
20220211-09:36:54:054  DatabaseThread CycleTime : 500
20220211-09:36:54:555  DatabaseThread CycleTime : 500
20220211-09:36:55:055  DatabaseThread CycleTime : 500
20220211-09:36:55:554  DatabaseThread CycleTime : 500
20220211-09:36:56:055  DatabaseThread CycleTime : 500
20220211-09:36:56:556  DatabaseThread CycleTime : 500
20220211-09:36:57:054  DatabaseThread CycleTime : 500
20220211-09:36:57:554  DatabaseThread CycleTime : 500
20220211-09:36:58:055  DatabaseThread CycleTime : 500
20220211-09:36:58:554  DatabaseThread CycleTime : 500
20220211-09:36:59:054  DatabaseThread CycleTime : 500
20220211-09:36:59:556  DatabaseThread CycleTime : 500
20220211-09:37:00:055  DatabaseThread CycleTime : 500
20220211-09:37:00:555  DatabaseThread CycleTime : 500
20220211-09:37:01:056  DatabaseThread CycleTime : 500
20220211-09:37:01:554  DatabaseThread CycleTime : 500
20220211-09:37:02:055  DatabaseThread CycleTime : 500
20220211-09:37:02:556  DatabaseThread CycleTime : 500
20220211-09:37:03:054  DatabaseThread CycleTime : 500
20220211-09:37:03:555  DatabaseThread CycleTime : 500
20220211-09:37:04:056  DatabaseThread CycleTime : 500
20220211-09:37:04:554  DatabaseThread CycleTime : 500
20220211-09:37:05:055  DatabaseThread CycleTime : 500
20220211-09:37:05:556  DatabaseThread CycleTime : 500
20220211-09:37:06:055  DatabaseThread CycleTime : 500
20220211-09:37:06:555  DatabaseThread CycleTime : 500
20220211-09:37:07:055  DatabaseThread CycleTime : 500
20220211-09:37:07:555  DatabaseThread CycleTime : 500
20220211-09:37:08:055  DatabaseThread CycleTime : 500
20220211-09:37:08:555  DatabaseThread CycleTime : 500
20220211-09:37:09:055  DatabaseThread CycleTime : 500
20220211-09:37:09:555  DatabaseThread CycleTime : 500
20220211-09:37:10:055  DatabaseThread CycleTime : 500
20220211-09:37:10:554  DatabaseThread CycleTime : 500
20220211-09:37:11:054  DatabaseThread CycleTime : 500
20220211-09:37:11:554  DatabaseThread CycleTime : 500
20220211-09:37:12:055  DatabaseThread CycleTime : 500
