20220218-13:52:01:389  program start  Ver. 2022/01/19_01
20220218-13:54:01:561  DatabaseThread CycleTime : 516
20220218-13:54:02:076  DatabaseThread CycleTime : 516
20220218-13:54:02:592  DatabaseThread CycleTime : 515
20220218-13:54:03:107  DatabaseThread CycleTime : 516
20220218-13:54:03:622  DatabaseThread CycleTime : 516
20220218-13:54:04:147  DatabaseThread CycleTime : 515
20220218-13:54:04:670  DatabaseThread CycleTime : 531
20220218-13:54:05:200  DatabaseThread CycleTime : 532
20220218-13:54:05:716  DatabaseThread CycleTime : 515
20220218-13:54:06:232  DatabaseThread CycleTime : 516
20220218-13:54:06:748  DatabaseThread CycleTime : 516
20220218-13:54:07:263  DatabaseThread CycleTime : 515
20220218-13:54:07:778  DatabaseThread CycleTime : 516
20220218-13:54:08:294  DatabaseThread CycleTime : 515
20220218-13:54:08:810  DatabaseThread CycleTime : 516
20220218-13:54:09:326  DatabaseThread CycleTime : 516
20220218-13:54:09:840  DatabaseThread CycleTime : 515
20220218-13:54:10:356  DatabaseThread CycleTime : 516
20220218-13:54:10:396  Log Out:STRONG  Log In:GUEST
20220218-13:54:10:888  DatabaseThread CycleTime : 531
20220218-13:54:11:403  DatabaseThread CycleTime : 516
20220218-13:54:11:918  DatabaseThread CycleTime : 515
